State,Count,year,month,incidence
Prevalence,9.84771E-08,9.13242E-05,Jan,9.84771E-05
Prevalence,7.84858E-07,0.000182648,Jan,0.000784858
Prevalence,2.63894E-06,0.000273973,Jan,0.002638941
Prevalence,6.23174E-06,0.000365297,Jan,0.00623174
Prevalence,1.21256E-05,0.000456621,Jan,0.012125551
Prevalence,2.0874E-05,0.000547945,Jan,0.020874019
Prevalence,3.30222E-05,0.000639269,Jan,0.033022203
Prevalence,4.91066E-05,0.000730594,Jan,0.049106646
Prevalence,6.96554E-05,0.000821918,Jan,0.069655437
Prevalence,9.51883E-05,0.000913242,Jan,0.095188278
Prevalence,0.000126217,0.001004566,Jan,0.126216556
Prevalence,0.000163243,0.00109589,Jan,0.163243404
Prevalence,0.000206764,0.001187215,Jan,0.20676377
Prevalence,0.000257264,0.001278539,Jan,0.257264484
Prevalence,0.000315224,0.001369863,Jan,0.315224324
Prevalence,0.000381114,0.001461187,Jan,0.381114085
Prevalence,0.000455397,0.001552511,Jan,0.455396644
Prevalence,0.000538527,0.001643836,Jan,0.538527025
Prevalence,0.000630952,0.00173516,Jan,0.63095247
Prevalence,0.000733113,0.001826484,Jan,0.733112503
Prevalence,0.000845439,0.001917808,Jan,0.845438995
Prevalence,0.000968356,0.002009132,Jan,0.968356235
Prevalence,0.001102281,0.002100457,Jan,1.102280994
Prevalence,0.001247623,0.002191781,Jan,1.247622589
Prevalence,0.001404783,0.002283105,Jan,1.404782952
Prevalence,0.001574157,0.002374429,Jan,1.574156696
Prevalence,0.001756131,0.002465753,Jan,1.756131181
Prevalence,0.001951087,0.002557078,Jan,1.951086577
Prevalence,0.002159396,0.002648402,Jan,2.159395933
Prevalence,0.002381425,0.002739726,Jan,2.381425241
Prevalence,0.002617534,0.00283105,Jan,2.6175335
Prevalence,0.002868073,0.002922374,Jan,2.868072784
Prevalence,0.003133388,0.003013699,Jan,3.133388304
Prevalence,0.003413818,0.003105023,Jan,3.413818475
Prevalence,0.003709695,0.003196347,Jan,3.709694978
Prevalence,0.004021343,0.003287671,Jan,4.021342827
Prevalence,0.00434908,0.003378995,Jan,4.349080432
Prevalence,0.00469322,0.00347032,Jan,4.693219661
Prevalence,0.005054066,0.003561644,Jan,5.054065907
Prevalence,0.005431918,0.003652968,Jan,5.431918149
Prevalence,0.005827069,0.003744292,Jan,5.827069016
Prevalence,0.006239805,0.003835616,Jan,6.239804849
Prevalence,0.006670406,0.003926941,Jan,6.670405767
Prevalence,0.007119146,0.004018265,Jan,7.119145724
Prevalence,0.007586293,0.004109589,Jan,7.586292576
Prevalence,0.008072108,0.004200913,Jan,8.072108142
Prevalence,0.008576848,0.004292237,Jan,8.576848263
Prevalence,0.009100763,0.004383562,Jan,9.100762866
Prevalence,0.009644096,0.004474886,Jan,9.644096025
Prevalence,0.010207086,0.00456621,Jan,10.20708602
Prevalence,0.010789965,0.004657534,Jan,10.78996541
Prevalence,0.011392961,0.004748858,Jan,11.39296105
Prevalence,0.012016294,0.004840183,Jan,12.01629423
Prevalence,0.012660181,0.004931507,Jan,12.66018066
Prevalence,0.013324831,0.005022831,Jan,13.32483056
Prevalence,0.014010449,0.005114155,Jan,14.01044872
Prevalence,0.014717235,0.005205479,Jan,14.71723457
Prevalence,0.015445382,0.005296804,Jan,15.44538219
Prevalence,0.01619508,0.005388128,Jan,16.19508045
Prevalence,0.016966513,0.005479452,Jan,16.96651298
Prevalence,0.017759858,0.005570776,Jan,17.7598583
Prevalence,0.01857529,0.0056621,Jan,18.57528984
Prevalence,0.019412976,0.005753425,Jan,19.41297599
Prevalence,0.02027308,0.005844749,Jan,20.27308019
Prevalence,0.021155761,0.005936073,Jan,21.15576096
Prevalence,0.022061172,0.006027397,Jan,22.06117197
Prevalence,0.022989462,0.006118721,Jan,22.98946208
Prevalence,0.023940775,0.006210046,Jan,23.94077543
Prevalence,0.024915251,0.00630137,Jan,24.91525146
Prevalence,0.025913025,0.006392694,Jan,25.91302497
Prevalence,0.026934226,0.006484018,Jan,26.9342262
Prevalence,0.027978981,0.006575342,Jan,27.97898086
Prevalence,0.02904741,0.006666667,Jan,29.04741019
Prevalence,0.030139631,0.006757991,Jan,30.13963102
Prevalence,0.031255756,0.006849315,Jan,31.25575583
Prevalence,0.032395893,0.006940639,Jan,32.39589278
Prevalence,0.033560146,0.007031963,Jan,33.5601458
Prevalence,0.034748615,0.007123288,Jan,34.74861459
Prevalence,0.035961395,0.007214612,Jan,35.96139474
Prevalence,0.037198578,0.007305936,Jan,37.19857773
Prevalence,0.038460251,0.00739726,Jan,38.46025098
Prevalence,0.039746498,0.007488584,Jan,39.74649796
Prevalence,0.041057398,0.007579909,Jan,41.05739818
Prevalence,0.042393027,0.007671233,Jan,42.39302727
Prevalence,0.043753457,0.007762557,Jan,43.75345701
Prevalence,0.045138755,0.007853881,Jan,45.13875543
Prevalence,0.046548987,0.007945205,Jan,46.5489868
Prevalence,0.047984212,0.00803653,Jan,47.98421173
Prevalence,0.049444487,0.008127854,Jan,49.44448716
Prevalence,0.050929866,0.008219178,Jan,50.9298665
Prevalence,0.0524404,0.008310502,Jan,52.44039958
Prevalence,0.053976133,0.008401826,Jan,53.97613277
Prevalence,0.055537109,0.008493151,Jan,55.53710901
Prevalence,0.057123368,0.008584475,Jan,57.12336785
Prevalence,0.058734945,0.008675799,Jan,58.7349455
Prevalence,0.060371875,0.008767123,Jan,60.37187487
Prevalence,0.062034186,0.008858447,Jan,62.03418565
Prevalence,0.063721904,0.008949772,Jan,63.72190433
Prevalence,0.065435054,0.009041096,Jan,65.43505425
Prevalence,0.067173656,0.00913242,Jan,67.17365566
Prevalence,0.068937726,0.009223744,Jan,68.93772574
Prevalence,0.070727279,0.009315068,Jan,70.7272787
Prevalence,0.072542326,0.009406393,Jan,72.54232575
Prevalence,0.074382875,0.009497717,Jan,74.38287523
Prevalence,0.076248933,0.009589041,Jan,76.24893258
Prevalence,0.0781405,0.009680365,Jan,78.14050044
Prevalence,0.080057579,0.009771689,Jan,80.05757866
Prevalence,0.082000164,0.009863014,Jan,82.00016439
Prevalence,0.083968252,0.009954338,Jan,83.96825205
Prevalence,0.085961833,0.010045662,Jan,85.96183345
Prevalence,0.087980898,0.010136986,Jan,87.98089782
Prevalence,0.090025432,0.010228311,Jan,90.02543179
Prevalence,0.09209542,0.010319635,Jan,92.09541954
Prevalence,0.094190843,0.010410959,Jan,94.19084273
Prevalence,0.096311681,0.010502283,Jan,96.31168065
Prevalence,0.09845791,0.010593607,Jan,98.45791019
Prevalence,0.100629506,0.010684932,Jan,100.6295059
Prevalence,0.10282644,0.010776256,Jan,102.82644
Prevalence,0.105048683,0.01086758,Jan,105.0486826
Prevalence,0.107296202,0.010958904,Jan,107.2962015
Prevalence,0.109568962,0.011050228,Jan,109.5689623
Prevalence,0.111866929,0.011141553,Jan,111.8669286
Prevalence,0.114190062,0.011232877,Jan,114.1900617
Prevalence,0.116538321,0.011324201,Jan,116.5383212
Prevalence,0.118911664,0.011415525,Jan,118.9116644
Prevalence,0.121310047,0.011506849,Jan,121.3100468
Prevalence,0.123733422,0.011598174,Jan,123.7334218
Prevalence,0.126181741,0.011689498,Jan,126.1817413
Prevalence,0.128654955,0.011780822,Jan,128.6549549
Prevalence,0.131153011,0.011872146,Jan,131.1530108
Prevalence,0.133675855,0.01196347,Jan,133.6758553
Prevalence,0.136223433,0.012054795,Jan,136.2234328
Prevalence,0.138795686,0.012146119,Jan,138.7956862
Prevalence,0.141392557,0.012237443,Jan,141.3925569
Prevalence,0.144013984,0.012328767,Jan,144.0139845
Prevalence,0.146659907,0.012420091,Jan,146.659907
Prevalence,0.149330261,0.012511416,Jan,149.330261
Prevalence,0.152024982,0.01260274,Jan,152.0249817
Prevalence,0.154744003,0.012694064,Jan,154.7440026
Prevalence,0.157487256,0.012785388,Jan,157.4872561
Prevalence,0.160254673,0.012876712,Jan,160.2546729
Prevalence,0.163046183,0.012968037,Jan,163.0461826
Prevalence,0.165861714,0.013059361,Jan,165.8617135
Prevalence,0.168701193,0.013150685,Jan,168.7011926
Prevalence,0.171564546,0.013242009,Jan,171.5645455
Prevalence,0.174451697,0.013333333,Jan,174.451697
Prevalence,0.17736257,0.013424658,Jan,177.3625704
Prevalence,0.180297088,0.013515982,Jan,180.297088
Prevalence,0.183255171,0.013607306,Jan,183.2551712
Prevalence,0.18623674,0.01369863,Jan,186.23674
